cod_proposta,cod_cliente,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta
969,249,20,2022-11-19 02:07:57 UTC,0.0178,58196.37584,78917.69,20721.31416,1686.249252,54,4,Aprovada
1107,980,11,2022-11-18 17:45:26 UTC,0.0159,19349.66487,36140.87,16791.20513,412.1324877,87,6,Em Análise
1902,519,55,2022-11-17 02:28:58 UTC,0.0178,196985.2571,247231.97,50246.71291,19876.5027,11,3,Enviada
260,472,77,2022-11-15 10:47:20 UTC,0.0191,141927.1482,226944.41,85017.26182,4108.082,57,2,Aprovada
1840,769,28,2022-11-09 21:15:07 UTC,0.0207,133660.4985,197742.96,64082.4615,4724.381746,43,3,Validação dos Documentos
829,577,52,2022-11-07 12:31:27 UTC,0.0188,62615.89113,75752.37,13136.47887,1594.175566,72,5,Em Análise
345,17,20,2022-11-06 18:59:43 UTC,0.0115,60101.06496,71835.44,11734.37504,2003.551692,37,6,Aprovada
578,274,53,2022-11-03 21:04:14 UTC,0.0234,98224.97403,129024.88,30799.90597,2751.368894,78,3,Aprovada
1156,669,2,2022-11-03 05:06:09 UTC,0.0201,7234.210567,10905.53,3671.319433,210.4566077,59,6,Aprovada
221,662,96,2022-11-03 00:49:59 UTC,0.0141,19232.1128,30765.39,11533.2772,366.8276155,96,3,Enviada
954,58,81,2022-10-31 03:38:13 UTC,0.0114,115558.297,170547.26,54988.96298,6798.925575,19,1,Aprovada
1051,186,97,2022-10-29 12:50:30 UTC,0.0109,45247.52118,77025.27,31777.74882,1069.970619,57,0,Em Análise
537,823,57,2022-10-23 20:14:45 UTC,0.0124,16507.52687,29357.06,12849.53313,897.6926269,21,5,Enviada
586,341,74,2022-10-05 15:58:02 UTC,0.0189,24768.38799,39369.35,14600.96201,538.0193892,109,0,Enviada
1915,500,48,2022-10-02 10:58:19 UTC,0.0107,157869.4499,203521.03,45651.58015,2372.039885,117,4,Em Análise
1178,664,89,2022-10-02 06:14:43 UTC,0.0205,41309.92125,60180.57,18870.64875,1039.817948,83,4,Aprovada
1867,650,37,2022-09-29 12:09:04 UTC,0.0223,44931.23632,62882.53,17951.29368,1103.93883,108,0,Validação dos Documentos
1681,818,76,2022-09-28 06:11:04 UTC,0.0176,69681.56914,120595.76,50914.19086,70907.96476,1,2,Enviada
1669,65,8,2022-09-24 01:37:57 UTC,0.0179,88993.96692,116726.64,27732.67308,1851.349264,111,5,Enviada
1773,27,45,2022-09-20 14:53:47 UTC,0.0096,72508.41334,112191.98,39683.56666,5959.543207,13,1,Validação dos Documentos
559,375,49,2022-09-19 03:36:25 UTC,0.0213,103759.6876,158635.86,54876.17239,3708.336983,43,6,Validação dos Documentos
511,782,97,2022-09-18 14:47:48 UTC,0.0216,126307.6149,243616.6,117308.9851,4539.154991,43,5,Aprovada
202,813,13,2022-09-16 22:30:47 UTC,0.0177,102638.1102,198722.53,96084.4198,3377.343036,44,5,Em Análise
1164,276,49,2022-09-15 04:18:16 UTC,0.0178,81768.63909,163246.11,81477.47091,1709.816238,108,1,Enviada
1856,849,59,2022-09-13 00:56:34 UTC,0.0243,102305.0427,158163.32,55858.27735,2768.981385,95,0,Enviada
977,546,38,2022-09-10 08:23:54 UTC,0.0121,21209.41074,37558.68,16349.26926,576.3069062,49,3,Em Análise
1011,292,86,2022-09-06 02:25:29 UTC,0.0121,62126.60708,121550.6,59423.99292,1235.094584,78,5,Validação dos Documentos
369,592,65,2022-09-05 13:43:27 UTC,0.0116,147404.4825,246291.64,98887.15754,4720.304498,39,1,Aprovada
1067,986,37,2022-09-04 04:31:22 UTC,0.0093,104304.7993,190050.37,85745.57065,1740.935823,88,1,Enviada
1887,367,36,2022-08-29 00:32:50 UTC,0.0213,155841.277,207527.6,51686.32305,5492.06611,44,5,Aprovada
857,182,13,2022-08-24 20:10:51 UTC,0.0151,131839.591,234725.24,102885.649,2385.749016,120,1,Em Análise
1237,676,76,2022-08-21 21:19:10 UTC,0.0111,60455.78037,115572.93,55117.14963,1110.354149,84,3,Validação dos Documentos
1277,235,42,2022-08-21 04:20:52 UTC,0.0185,43792.48605,64373.18,20580.69395,937.2482482,109,5,Em Análise
1595,248,40,2022-08-19 22:29:01 UTC,0.022,4063.960371,5436.18,1372.219629,275.8646768,18,0,Validação dos Documentos
843,194,39,2022-08-19 00:55:57 UTC,0.018,123546.6597,152562.03,29015.37032,2520.108667,120,1,Em Análise
1310,380,66,2022-08-12 06:14:09 UTC,0.0172,47722.81433,80115.51,32392.69567,1014.929913,97,6,Enviada
1399,331,63,2022-08-10 19:11:34 UTC,0.0182,146571.593,247210.52,100638.927,4239.905337,55,2,Validação dos Documentos
308,335,6,2022-08-09 15:51:27 UTC,0.0204,138074.889,177330.72,39255.83095,3698.412678,71,3,Enviada
1084,126,42,2022-08-08 23:34:41 UTC,0.0221,133629.7252,165005.29,31375.56479,3645.452541,76,1,Validação dos Documentos
227,867,85,2022-08-08 19:57:40 UTC,0.0163,105738.5042,208601.79,102863.2858,2307.307714,85,0,Em Análise
776,744,44,2022-08-02 22:51:19 UTC,0.0121,63088.84963,93017.02,29928.17037,1010.861179,117,3,Validação dos Documentos
1844,194,29,2022-07-31 01:48:53 UTC,0.0183,33538.98334,62563.05,29024.06666,1005.277313,52,3,Aprovada
1541,451,82,2022-07-30 11:38:15 UTC,0.0081,102125.0175,133649.41,31524.39252,1534.572456,96,2,Aprovada
840,714,65,2022-07-28 18:33:21 UTC,0.0152,145376.8212,198747.21,53370.3888,3919.178039,55,1,Aprovada
1136,940,72,2022-07-25 01:31:49 UTC,0.0243,49883.44682,91065.36,41181.91318,2132.475237,35,2,Aprovada
1130,15,97,2022-07-24 21:05:07 UTC,0.011,30531.58276,41233.61,10702.02724,489.2889334,106,3,Aprovada
531,350,36,2022-07-22 20:55:01 UTC,0.0219,30191.20694,41208.08,11016.87306,1294.519346,33,2,Aprovada
1375,95,46,2022-07-22 20:39:18 UTC,0.0138,113466.1224,158048.23,44582.10756,3113.532405,51,2,Aprovada
1517,700,25,2022-07-19 15:54:15 UTC,0.0144,134358.3048,164296.25,29937.9452,2441.286157,110,6,Validação dos Documentos
486,482,10,2022-07-18 20:48:45 UTC,0.0126,125288.0972,151666.94,26378.84282,2085.235386,113,3,Em Análise
458,492,99,2022-07-18 07:39:52 UTC,0.0115,21600.00928,40310.37,18710.36072,753.1471664,35,0,Enviada
1918,929,52,2022-07-15 15:43:58 UTC,0.0247,126271.1757,193413.96,67142.78428,3330.270457,113,6,Em Análise
769,640,79,2022-07-09 14:07:17 UTC,0.0246,90570.19413,115394.9,24824.70587,2369.388383,116,4,Enviada
514,720,37,2022-07-08 02:07:37 UTC,0.0208,175097.3922,228404.09,53306.69776,4802.240119,69,6,Aprovada
596,266,2,2022-07-05 17:39:02 UTC,0.0242,131492.082,206480.64,74988.55798,45969.00688,3,5,Aprovada
1097,26,34,2022-06-28 16:07:43 UTC,0.0214,145855.9359,182661.44,36805.50406,4270.306791,62,6,Em Análise
1970,792,54,2022-06-27 23:01:44 UTC,0.01,9634.795292,18831.94,9197.144708,180.0180496,77,1,Aprovada
1323,250,13,2022-06-27 21:44:35 UTC,0.0208,35073.07847,61732.16,26659.08153,886.8602004,84,5,Aprovada
1668,710,49,2022-06-26 16:49:25 UTC,0.024,18369.71815,32359.22,13989.50185,495.4635707,93,5,Em Análise
1702,764,95,2022-06-22 00:00:17 UTC,0.024,144333.2993,201185.56,56852.26073,4231.108557,72,5,Enviada
1578,527,26,2022-06-21 18:40:39 UTC,0.0093,173305.8941,224957.59,51651.69591,12431.88457,15,3,Validação dos Documentos
1986,767,64,2022-06-21 02:05:33 UTC,0.0123,107348.6846,182012.52,74663.83538,3288.051671,42,2,Validação dos Documentos
452,43,46,2022-06-20 23:44:00 UTC,0.0099,19728.66305,29913.81,10185.14695,1624.829951,13,1,Validação dos Documentos
476,255,18,2022-06-18 23:21:12 UTC,0.0228,54108.81368,73240.14,19131.32632,2635.713246,28,1,Aprovada
500,347,89,2022-06-17 10:33:09 UTC,0.0231,15038.3553,19967.63,4929.274698,435.4179797,70,0,Enviada
58,921,78,2022-06-12 07:34:46 UTC,0.0211,119231.089,147606.68,28375.59099,5162.081948,32,0,Enviada
1182,376,24,2022-06-10 03:54:48 UTC,0.0126,113718.2952,176885.4,63167.10479,7473.188877,17,4,Validação dos Documentos
1693,171,22,2022-06-09 07:29:31 UTC,0.0172,137832.3195,200827.95,62995.63053,3895.531845,55,2,Aprovada
1608,984,25,2022-06-05 16:09:28 UTC,0.0195,140012.8726,177600.69,37587.81745,3818.480959,65,0,Enviada
1605,360,30,2022-06-02 05:55:25 UTC,0.0108,69184.6823,106081.03,36896.3477,1077.857697,110,2,Validação dos Documentos
1117,163,23,2022-05-31 00:13:10 UTC,0.0095,122068.5117,186353.63,64285.11834,18107.28151,7,6,Aprovada
1526,735,26,2022-05-29 04:33:30 UTC,0.0108,110065.1204,194494.67,84429.54962,8513.415393,14,3,Em Análise
425,199,89,2022-05-28 00:14:13 UTC,0.0129,133660.494,191377.52,57717.02597,4999.092029,33,5,Validação dos Documentos
1982,531,76,2022-05-21 06:01:35 UTC,0.0203,86822.74987,136106.33,49283.58013,3002.670044,44,3,Validação dos Documentos
379,797,10,2022-05-16 01:00:15 UTC,0.0186,30567.29472,57420.05,26852.75528,702.2634378,90,2,Aprovada
493,921,6,2022-05-12 01:37:28 UTC,0.0136,71727.56303,113574.72,41847.15697,14936.08003,5,2,Em Análise
1239,27,42,2022-05-06 23:32:01 UTC,0.0171,21903.29923,42712.26,20808.96077,453.6650837,103,6,Aprovada
124,491,43,2022-05-06 10:30:29 UTC,0.0212,40044.79325,75589.36,35544.56675,4119.675262,11,6,Em Análise
1493,671,74,2022-05-01 05:41:11 UTC,0.0111,161797.4853,199091.85,37294.36472,12542.08266,14,2,Aprovada
910,674,34,2022-04-23 03:15:25 UTC,0.0236,15301.50499,19535.75,4234.245014,4053.705326,4,3,Aprovada
1508,528,48,2022-04-22 08:52:14 UTC,0.0146,112141.8524,201827.11,89685.25755,5055.543762,27,2,Validação dos Documentos
1644,982,52,2022-04-18 13:58:35 UTC,0.0153,176429.5057,236059.85,59630.3443,3518.363353,96,2,Enviada
1070,527,93,2022-04-13 23:49:59 UTC,0.021,163470.9921,217503.14,54032.1479,3986.415627,95,0,Aprovada
1812,507,25,2022-04-13 21:51:20 UTC,0.0243,142957.9947,169267.55,26309.55531,9483.700318,19,4,Aprovada
1063,284,77,2022-04-12 22:10:23 UTC,0.0217,118281.3764,225897.45,107616.0736,2827.637722,111,6,Em Análise
545,2,60,2022-04-10 13:08:00 UTC,0.0111,88190.29787,136195.78,48005.48213,2045.245522,59,3,Aprovada
1469,895,2,2022-04-08 06:23:32 UTC,0.0199,38892.2817,68709.07,29816.7883,1298.522583,46,6,Enviada
1479,934,48,2022-04-07 00:51:09 UTC,0.01,34973.73484,62997.85,28024.11516,878.7782094,51,5,Aprovada
1677,881,54,2022-04-06 04:53:30 UTC,0.0117,130962.2375,236449.64,105487.4025,2162.425043,106,5,Validação dos Documentos
1988,7,14,2022-04-05 10:57:41 UTC,0.0244,82768.58181,115375.51,32606.92819,4597.204698,24,4,Em Análise
1311,243,20,2022-04-03 08:59:36 UTC,0.0098,140577.8794,201068.12,60490.24064,4764.101986,35,0,Validação dos Documentos
556,822,63,2022-04-02 10:46:39 UTC,0.0132,72655.00456,109363.08,36708.07544,1520.16917,76,5,Aprovada
709,422,49,2022-03-23 09:34:46 UTC,0.0187,12408.08345,16879.89,4471.80655,288.5423781,88,3,Em Análise
207,799,22,2022-03-21 07:33:13 UTC,0.0112,161775.6651,206714.34,44938.67494,3199.69368,75,2,Aprovada
72,983,7,2022-03-21 04:49:19 UTC,0.0108,60091.11003,109302.14,49211.02997,2755.599261,25,1,Enviada
581,81,2,2022-03-19 23:43:49 UTC,0.0183,59901.0429,112333.57,52432.5271,1309.804213,100,6,Enviada
1518,504,26,2022-03-19 10:28:19 UTC,0.0177,133231.8143,164079.95,30848.13565,3622.378617,60,5,Enviada
526,739,89,2022-03-19 05:01:19 UTC,0.0198,77244.23653,152592.44,75348.20347,2022.356774,72,1,Enviada
1540,984,16,2022-03-17 00:37:06 UTC,0.0237,134454.6626,170958.4,36503.73743,3953.806589,70,3,Enviada
1868,425,84,2022-03-15 23:33:58 UTC,0.0233,109606.2214,168493.12,58886.89865,2743.476437,116,1,Aprovada
1925,995,37,2022-03-11 06:51:56 UTC,0.0235,44324.3767,75272.77,30948.3933,2516.66909,23,5,Validação dos Documentos
633,856,50,2022-03-09 18:28:51 UTC,0.0203,18163.39109,32862.38,14698.98891,439.265623,91,5,Aprovada
893,842,55,2022-02-28 20:57:09 UTC,0.0088,129334.1205,233774.63,104440.5095,4532.88965,33,0,Aprovada
1158,985,21,2022-02-28 18:30:43 UTC,0.0189,82772.41715,128290.86,45518.44285,3322.052792,34,4,Aprovada
1376,257,61,2022-02-26 21:19:04 UTC,0.0194,1247.576979,2396.47,1148.893021,29.07178488,93,5,Aprovada
853,714,55,2022-02-25 22:29:44 UTC,0.0171,167446.59,237021.74,69575.15005,3520.36841,99,6,Em Análise
1556,58,24,2022-02-24 13:47:33 UTC,0.0126,158065.1636,193160.85,35095.68644,2580.505132,118,3,Validação dos Documentos
830,223,4,2022-02-24 08:54:54 UTC,0.0168,49903.52265,70159.91,20256.38735,1152.671359,78,3,Em Análise
1842,214,37,2022-02-22 13:33:14 UTC,0.0201,98835.3127,146726,47890.6873,4650.257833,28,6,Enviada
253,811,68,2022-02-21 06:15:50 UTC,0.0144,92743.17999,113289.3,20546.12001,6531.27122,16,5,Aprovada
1921,51,49,2022-02-20 19:00:42 UTC,0.016,107165.0677,165158.72,57993.65228,2212.157621,94,3,Enviada
741,790,63,2022-02-18 15:22:05 UTC,0.0152,86135.09883,135081,48945.90117,2295.506825,56,0,Enviada
932,475,58,2022-02-14 19:07:13 UTC,0.0176,88283.09038,117348.32,29065.22962,2254.12935,67,4,Enviada
1697,564,47,2022-02-14 03:38:55 UTC,0.0223,55592.05979,107539.76,51947.70021,1382.270917,103,2,Validação dos Documentos
451,140,78,2022-02-10 15:12:56 UTC,0.0145,16256.32814,28980.79,12724.46186,1145.747834,16,4,Enviada
670,49,41,2022-02-07 04:09:33 UTC,0.0155,106553.8995,165337.1,58783.20053,2379.622849,77,6,Em Análise
1261,812,92,2022-02-01 17:07:15 UTC,0.0217,20329.83066,34774.07,14444.23934,570.9630556,69,5,Em Análise
394,228,23,2022-01-29 18:25:44 UTC,0.0214,136501.8438,215503.84,79001.99621,6708.514595,27,4,Aprovada
342,762,9,2022-01-29 13:36:45 UTC,0.0195,78781.21237,155280.7,76499.48763,2101.401384,68,4,Em Análise
1265,16,21,2022-01-29 05:42:08 UTC,0.0222,74746.44838,114570.17,39823.72162,2024.575155,78,1,Aprovada
1342,129,62,2022-01-28 19:41:42 UTC,0.0106,178222.6853,238769.73,60547.04466,3584.811334,71,1,Enviada
1295,927,50,2022-01-28 10:40:18 UTC,0.0123,157633.9506,199276.92,41642.96936,2600.143077,112,3,Validação dos Documentos
653,604,89,2022-01-26 20:53:45 UTC,0.0145,7494.065481,14696.94,7202.874519,175.5942683,67,1,Em Análise
1713,890,68,2022-01-26 09:46:22 UTC,0.0204,140006.3527,227540.41,87534.05734,3967.925831,63,2,Enviada
1069,304,7,2022-01-22 22:34:40 UTC,0.0164,101745.7661,142646.6,40900.83389,2052.978763,103,6,Aprovada
643,885,54,2022-01-21 12:56:10 UTC,0.0216,118694.5694,202025.12,83330.55058,4327.608911,42,5,Enviada
1648,323,26,2022-01-21 11:07:44 UTC,0.0199,10436.76396,12302.68,1865.916036,229.2380513,120,6,Em Análise
1037,442,73,2022-01-20 05:30:48 UTC,0.0156,144531.2817,188545.92,44014.63825,5171.014488,37,0,Validação dos Documentos
1044,715,16,2022-01-19 00:20:20 UTC,0.0125,23515.67637,39177.73,15662.05363,541.543504,63,3,Validação dos Documentos
1324,545,68,2022-01-14 04:55:43 UTC,0.015,98895.85283,188489.14,89593.28717,3575.321988,36,5,Validação dos Documentos
1245,716,53,2022-01-12 07:49:01 UTC,0.0153,163396.467,218434.06,55037.59297,7218.407577,28,0,Enviada
762,472,89,2022-01-11 08:47:38 UTC,0.0104,63875.52835,126975.98,63100.45165,1152.697088,83,5,Enviada
1462,252,39,2022-01-10 21:42:55 UTC,0.009,115885.3165,210424.71,94539.3935,3971.626297,34,5,Enviada
1019,862,97,2022-01-07 07:17:19 UTC,0.009,103602.21,182932.7,79330.49002,3095.691077,40,6,Enviada
334,807,90,2022-01-06 18:12:05 UTC,0.0121,1701.524745,2056.17,354.645255,96.29645248,20,3,Enviada
584,355,43,2022-01-02 06:37:34 UTC,0.018,50411.28948,95061.64,44650.35052,1668.448731,44,1,Enviada
59,60,100,2021-12-31 18:53:53 UTC,0.0106,113557.0533,142096.97,28539.91669,3900.44011,35,0,Em Análise
47,56,36,2021-12-31 11:29:02 UTC,0.0125,105484.7133,145685.49,40200.77669,1983.238038,88,3,Em Análise
1764,828,39,2021-12-30 15:55:20 UTC,0.0161,53741.00908,76298.13,22557.12092,1029.219819,115,2,Enviada
602,192,96,2021-12-29 16:03:05 UTC,0.024,48985.85187,97783.57,48797.71813,1266.733537,111,4,Aprovada
1747,742,96,2021-12-29 01:19:30 UTC,0.0148,23857.95467,35765.89,11907.93533,602.7246703,60,1,Aprovada
1503,775,81,2021-12-27 10:32:26 UTC,0.0224,54938.93682,101545.12,46606.18318,3190.189648,22,3,Em Análise
958,364,74,2021-12-24 20:22:47 UTC,0.0243,112903.6405,156235.69,43332.04945,2928.72101,115,2,Em Análise
460,909,47,2021-12-20 07:07:30 UTC,0.0086,146303.6177,178747.63,32444.01227,2395.377993,87,5,Em Análise
1855,326,14,2021-12-17 08:09:29 UTC,0.0246,77958.76982,132052.36,54093.59018,2386.113019,67,0,Aprovada
185,640,67,2021-12-11 02:26:50 UTC,0.0164,76780.20814,142054.13,65273.92186,9245.854574,9,6,Aprovada
113,176,96,2021-12-10 00:25:09 UTC,0.0221,124489.8382,232380.19,107890.3518,4051.167534,52,6,Enviada
145,264,76,2021-12-06 21:08:15 UTC,0.0217,3769.855026,5204.11,1434.254974,90.52599333,109,5,Aprovada
1679,845,30,2021-12-05 06:09:15 UTC,0.0146,15546.41522,20258.27,4711.854775,597.0360267,33,0,Enviada
53,489,13,2021-11-30 01:11:53 UTC,0.0123,68601.85915,90359.89,21758.03085,1305.721405,85,5,Enviada
521,286,45,2021-11-26 04:09:04 UTC,0.0249,109917.4462,183729.5,73812.05379,2943.615548,108,5,Em Análise
1133,429,62,2021-11-25 11:40:40 UTC,0.0124,68285.2709,125287.26,57001.9891,1189.284086,101,0,Aprovada
82,129,56,2021-11-24 10:37:20 UTC,0.0108,145593.8694,244313.43,98719.56061,2794.396537,77,0,Enviada
45,298,12,2021-11-24 10:34:29 UTC,0.0249,90801.17027,167563.1,76761.92973,2431.677098,108,0,Em Análise
329,736,63,2021-11-22 09:11:59 UTC,0.0138,64264.14489,83018.15,18754.00511,65150.99009,1,6,Em Análise
1031,72,70,2021-11-20 18:36:28 UTC,0.0185,108182.0263,193274.48,85092.45371,3118.592952,56,5,Aprovada
268,211,96,2021-11-19 08:13:59 UTC,0.0203,106093.3321,172061.77,65968.43793,2487.039727,100,4,Enviada
637,665,88,2021-11-11 23:21:55 UTC,0.0126,57570.49448,109616.72,52046.22552,1079.630029,89,5,Enviada
1278,525,30,2021-11-10 10:42:39 UTC,0.0172,132846.6471,201870.3,69023.65288,2623.958492,120,5,Em Análise
360,744,81,2021-11-10 04:56:10 UTC,0.0104,47178.50402,57113.38,9934.875977,2512.462651,21,0,Em Análise
695,583,62,2021-11-03 15:35:10 UTC,0.0203,155637.6167,191034.54,35396.9233,9176.796519,21,4,Validação dos Documentos
475,683,64,2021-11-01 22:06:54 UTC,0.0132,64259.39223,78671.82,14412.42777,1376.829984,73,6,Em Análise
1105,545,60,2021-10-31 22:17:07 UTC,0.0214,82652.11782,128271.69,45619.57218,2222.948211,75,3,Em Análise
684,231,17,2021-10-27 15:10:18 UTC,0.02,98442.57032,177370.84,78928.26968,2314.692705,96,6,Validação dos Documentos
1711,640,66,2021-10-27 10:13:35 UTC,0.0249,120893.6905,195580.94,74687.24951,3231.633378,109,3,Enviada
366,396,45,2021-10-26 16:31:16 UTC,0.0177,98416.11798,139390.84,40974.72202,2627.226685,62,3,Em Análise
1502,523,57,2021-10-24 02:27:55 UTC,0.0112,39520.70661,62793.15,23272.44339,1404.12173,34,6,Em Análise
1460,302,62,2021-10-22 06:18:32 UTC,0.0198,161765.4573,197885.02,36119.5627,3603.908536,112,1,Enviada
1654,673,87,2021-10-20 23:40:51 UTC,0.017,8983.777914,15413.04,6429.262086,258.5263159,53,2,Em Análise
1536,197,71,2021-10-19 04:18:17 UTC,0.0087,115504.6871,220508.17,105003.4829,1816.56923,93,4,Validação dos Documentos
1888,322,1,2021-10-17 21:56:37 UTC,0.0215,99871.15186,163504.18,63633.02814,3003.37012,59,6,Validação dos Documentos
1038,869,45,2021-10-11 21:46:17 UTC,0.0242,110637.0362,151119.98,40482.94381,5006.865386,32,6,Enviada
1263,680,40,2021-10-08 21:00:11 UTC,0.0183,120055.6103,237277.28,117221.6697,3254.193621,62,1,Em Análise
1312,813,98,2021-10-05 07:36:19 UTC,0.0174,13271.07361,22344.63,9073.556392,292.9341442,90,4,Aprovada
1996,152,23,2021-09-19 16:22:25 UTC,0.0248,27454.48208,35170.43,7715.947924,725.2992754,114,4,Validação dos Documentos
788,118,53,2021-09-18 11:00:39 UTC,0.0224,16507.03058,30524.88,14017.84942,1307.847354,15,2,Enviada
1095,908,15,2021-09-16 20:13:33 UTC,0.015,19128.14852,37501.87,18373.72148,462.727937,65,5,Validação dos Documentos
1869,195,90,2021-09-14 03:27:55 UTC,0.0082,33978.12874,57497.35,23519.22126,2149.429764,17,1,Enviada
385,892,99,2021-09-11 19:12:42 UTC,0.0118,25373.32045,31543.27,6169.949552,638.0463839,54,5,Validação dos Documentos
1165,762,20,2021-09-05 10:11:36 UTC,0.0229,91244.2544,174521.3,83277.0456,2769.979997,62,2,Aprovada
833,324,18,2021-09-01 00:48:21 UTC,0.0221,130988.7405,162328.81,31340.06949,3168.776444,112,0,Em Análise
948,283,16,2021-08-30 05:16:24 UTC,0.0204,16374.67698,25075.1,8700.423022,567.3721334,44,3,Aprovada
1243,565,82,2021-08-27 03:09:36 UTC,0.0183,110475.2922,190705.43,80230.13779,2513.037804,90,2,Aprovada
1166,11,73,2021-08-24 19:21:46 UTC,0.0135,129204.209,155483.49,26279.28101,2434.444259,94,0,Enviada
944,707,97,2021-08-24 11:04:26 UTC,0.0147,2837.242924,4770.35,1933.107076,120.8735452,29,5,Em Análise
918,962,72,2021-08-24 07:57:06 UTC,0.0204,86406.09693,154099.71,67693.61307,1992.249306,107,4,Em Análise
1800,382,7,2021-08-23 13:43:00 UTC,0.0153,79373.66704,138677.79,59304.12296,27271.59801,3,4,Aprovada
13,112,7,2021-08-21 03:04:37 UTC,0.0217,944.0064028,1652.35,708.3435972,22.33633011,116,6,Aprovada
865,448,94,2021-08-20 17:48:11 UTC,0.0229,71614.90183,101896.77,30281.86817,2711.702,41,4,Em Análise
804,734,52,2021-08-19 04:07:12 UTC,0.0115,57709.83481,68976.53,11266.69519,1385.888389,57,5,Enviada
525,919,49,2021-08-19 02:39:13 UTC,0.0221,134799.2493,173739.37,38940.12069,3395.488609,96,6,Em Análise
1408,660,51,2021-08-18 15:58:09 UTC,0.0224,16288.50151,20309.99,4021.488486,398.9851336,111,5,Aprovada
1387,700,83,2021-08-17 23:05:09 UTC,0.0117,163244.5943,203494.77,40250.1757,4941.90184,42,2,Enviada
781,103,43,2021-08-17 17:31:09 UTC,0.0214,11453.39966,14530.19,3076.790335,274.8564788,105,0,Validação dos Documentos
1238,626,26,2021-08-17 14:36:04 UTC,0.0122,111520.321,192191.31,80670.98897,2011.947946,93,2,Enviada
947,140,73,2021-08-15 04:03:02 UTC,0.0105,137099.4323,184068.72,46969.2877,2501.992789,82,2,Validação dos Documentos
1404,424,31,2021-08-11 15:33:28 UTC,0.0099,72467.6817,90672.57,18204.8883,1386.050068,74,0,Enviada
1845,528,40,2021-08-11 11:59:58 UTC,0.0129,51805.02208,97392.24,45587.21792,949.1616092,95,6,Enviada
755,494,1,2021-08-10 04:24:02 UTC,0.0203,122236.3126,187154.36,64918.04745,3673.518951,56,0,Enviada
929,922,38,2021-08-09 07:49:06 UTC,0.0229,128793.3587,165356.94,36563.58129,3190.873528,114,6,Validação dos Documentos
1621,276,65,2021-08-05 15:21:15 UTC,0.0099,43763.27773,63723.7,19960.42227,1561.058649,33,5,Aprovada
859,312,30,2021-08-03 05:47:19 UTC,0.0085,145554.6326,188606.65,43052.01736,5517.171037,30,0,Em Análise
256,711,43,2021-08-02 15:02:29 UTC,0.0182,97061.75175,135058.79,37997.03825,2005.22732,118,5,Em Análise
142,431,4,2021-08-02 13:35:59 UTC,0.0214,163191.4386,222265.97,59074.53143,29271.6826,6,1,Validação dos Documentos
